subject_group,school_code,school_name,major_group_code,actual_group_min_score,actual_group_min_rank,major_code,major_name,actual_major_min_score,actual_major_min_rank,actual_major_max_score,actual_major_avg_score,actual_major_admit_count,selection_requirement,college_department,major_note,actual_group_plan_count,actual_group_filing_count,actual_group_vacancy_count,group_note,group_major_count
历史,10384,厦门大学,214,625,1454,023,经济学类(含双学士学位项目),630,1062,640.0,,3,历,,金融学、财政学、税收学、国际经济与贸易、经济学,25,25,,,6
历史,10384,厦门大学,214,625,1454,019,人文科学试验班,628,1220,640.0,,6,历,,汉语言文学、汉语言、历史学、考古学、哲学、戏剧影视文学,25,25,,,6
历史,10384,厦门大学,214,625,1454,020,新闻传播学类(国际传播智能广告与数字新闻),625,1456,631.0,,5,历,,新闻学、广告学、传播学、国际新闻与传播,25,25,,,6
历史,10384,厦门大学,214,625,1454,022,社会学类,625,1456,628.0,,4,历,,社会学、人类学,25,25,,,6
历史,10384,厦门大学,215,601,5026,028,会计学(厦门大学马来西亚分校招生专业),609,3421,610.0,,2,历,,,12,12,,马来分校,6
历史,10384,厦门大学,215,601,5026,025,汉语言文学(厦门大学马来西亚分校招生专业),605,4140,613.0,,2,历,,,12,12,,马来分校,6
历史,10384,厦门大学,215,601,5026,027,金融学(厦门大学马来西亚分校招生专业),603,4540,609.0,,2,历,,,12,12,,马来分校,6
历史,10384,厦门大学,215,601,5026,030,英语(厦门大学马来西亚分校招生专业),602,4757,604.0,,2,历,,,12,12,,马来分校,6
历史,10384,厦门大学,215,601,5026,029,广告学(厦门大学马来西亚分校招生专业),602,4757,614.0,,2,历,,,12,12,,马来分校,6
历史,10384,厦门大学,215,601,5026,026,新闻学(厦门大学马来西亚分校招生专业),601,4969,601.0,,2,历,,,12,12,,马来分校,6
历史,19027,北京师范大学(珠海校区),109,624,1496,002,英语(师范)(国家公费师范生),628,1220,632.0,,6,历,,公师,45,45,,公师,3
历史,19027,北京师范大学(珠海校区),109,624,1496,001,汉语言文学(师范)(国家公费师范生),625,1456,649.0,,23,历,,公师,45,45,,公师,3
历史,19027,北京师范大学(珠海校区),109,624,1496,003,历史学(师范)(国家公费师范生),624,1541,631.0,,16,历,,公师,45,45,,公师,3
历史,19027,北京师范大学(珠海校区),110,620,1935,004,思想政治教育(师范)(国家公费师范生),620,1951,630.0,,32,历+政,,公师,32,32,,公师,1
历史,19027,北京师范大学(珠海校区),208,624,1569,015,人文科学试验班,626,1378,646.0,,49,历,,汉语言文学、英语、历史学,79,79,,,2
历史,19027,北京师范大学(珠海校区),208,624,1569,016,社会科学试验班,624,1541,639.0,,30,历,,经济学(数据科学)、金融科技,79,79,,,2
历史,10611,重庆大学,211,620,1998,007,汉语言文学(博雅类),620,1951,623.0,,3,历,,中文、历史、哲学,6,6,,,2
历史,10611,重庆大学,211,620,1998,008,人文科学试验班(法学新闻类),620,1951,623.0,,3,历,,法学、新闻学,6,6,,,2
历史,10611,重庆大学,212,617,2262,006,马克思主义理论,617,2306,618.0,,2,历+政,,,2,2,,,1
历史,10611,重庆大学,216,593,6904,009,戏剧与影视学类,593,6870,602.0,,8,历,,广播电视编导、戏剧影视文学、戏剧影视导演,8,8,,,1
历史,10272,上海财经大学,207,620,1976,002,会计学,630,1062,630.0,,1,历,,,21,21,,,7
历史,10272,上海财经大学,207,620,1976,004,金融学,626,1378,630.0,,5,历,,,21,21,,,7
历史,10272,上海财经大学,207,620,1976,009,法学,623,1635,626.0,,3,历,,“法学+金融学”双学位,21,21,,,7
