subject_group,school_code,school_name,major_code,major_name,selection_requirement,actual_major_max_score,actual_major_min_score,actual_major_min_rank,major_group_code,college_department,actual_major_avg_score,actual_major_admit_count,major_note
历史,10041,中国人民公安大学,015,涉外警务,历+政,641.0,641,524,114,,,1,女
历史,10251,华东理工大学,004,法学,历,602.0,602,4757,207,,,2,
历史,10251,华东理工大学,003,公共管理类,历,601.0,600,5183,207,,,4,社会学、社会工作、公共事业管理、行政管理
历史,10030,北京外国语大学,020,英语(中国政法大学联合培养涉外法治人才),历,643.0,643,442,211,,,1,
历史,10030,北京外国语大学,024,西班牙语(葡语),历,642.0,642,482,211,,,1,
历史,10030,北京外国语大学,028,翻译(外交外事高级翻译),历,641.0,641,524,211,,,1,
历史,10030,北京外国语大学,023,西班牙语,历,629.0,629,1181,211,,,1,
历史,10030,北京外国语大学,017,英语,历,631.0,627,1338,211,,,2,
历史,10030,北京外国语大学,019,英语(外语教育),历,625.0,623,1682,211,,,2,
历史,10030,北京外国语大学,025,日语(高级翻译),历,623.0,623,1682,211,,,1,
历史,10030,北京外国语大学,013,法学,历,622.0,622,1778,211,,,1,
历史,10030,北京外国语大学,018,英语(国别与区域研究),历,628.0,621,1890,211,,,2,
历史,10030,北京外国语大学,027,葡萄牙语(法学),历,621.0,621,1890,211,,,1,
历史,10030,北京外国语大学,012,国际经济与贸易,历,619.0,619,2131,211,,,1,
历史,10030,北京外国语大学,026,日语(日本研究),历,619.0,619,2131,211,,,1,
历史,10030,北京外国语大学,029,工商管理类,历,619.0,619,2131,211,,,1,工商管理、会计学、国际商务、电子商务(数字化运营与创新)
历史,10030,北京外国语大学,016,汉语言文学,历,618.0,618,2245,211,,,1,
历史,10030,北京外国语大学,022,德语,历,620.0,617,2366,211,,,2,
历史,10030,北京外国语大学,021,俄语,历,618.0,617,2366,211,,,2,
历史,10030,北京外国语大学,014,外交学,历+政,630.0,627,1338,212,,,2,
历史,10030,北京外国语大学,015,国际组织与全球治理,历+政,616.0,616,2472,212,,,1,
历史,10030,北京外国语大学,030,外交学(中外合作办学),历+政,610.0,606,4044,213,,,2,中外合作
历史,19422,山东大学威海分校,002,中国语言文学类,历,623.0,615,2597,205,,,2,汉语言文学、新闻学(融媒体传播方向)
历史,19422,山东大学威海分校,003,外国语言文学类,历,614.0,611,3180,205,,,6,英语(英法双语方向)、英语(英西双语方向)、英语(英俄双语方向)、英语(国际传播方向)、英语(外事外交方向)、翻译(机辅翻译方向)
历史,19422,山东大学威海分校,001,经济学类,历,615.0,609,3505,205,,,10,金融学(数智金融方向)、金融学(保险科技方向)、国际经济与贸易(数字贸易方向)
历史,10276,华东政法大学,001,法学,历,640.0,640,539,203,,,1,卓越涉外法治人才创新基地班
历史,10276,华东政法大学,002,法学,历,635.0,635,764,203,,,1,卓越涉外法治人才沪港交流班
历史,10276,华东政法大学,003,法学,历,624.0,615,2535,203,,,2,卓越涉外国际金融法治人才实验班
历史,10276,华东政法大学,004,知识产权,历,615.0,615,2535,203,,,1,卓越人才实验班
历史,10276,华东政法大学,009,法学,历,642.0,614,2676,203,,,8,
历史,10276,华东政法大学,005,网络与新媒体,历,614.0,614,2676,203,,,1,
历史,10276,华东政法大学,008,经济学类,历,613.0,613,2825,203,,,1,经济学、金融学、国际经济与贸易、会计学、金融学(数量金融)
历史,10276,华东政法大学,007,公共管理类,历,613.0,613,2825,203,,,3,行政管理、劳动与社会保障
历史,10276,华东政法大学,006,社会学类,历,615.0,612,2966,203,,,2,社会学、社会工作、社会政策
历史,10183,吉林大学,001,马克思主义理论(PPE哲学政治学经济学特色班),历+政,619.0,619,2072,102,,,1,
历史,10183,吉林大学,010,日语,历,609.0,609,3421,215,,,1,
历史,10183,吉林大学,008,英语,历,608.0,608,3591,215,,,1,
历史,10183,吉林大学,009,俄语,历,608.0,606,3950,215,,,2,
历史,10183,吉林大学,005,人文科学试验班(匡亚明班),历,618.0,615,2535,216,,,2,汉语言文学、历史学
历史,10183,吉林大学,004,"哲学(匡亚明班,拔尖学生培养基地)",历,614.0,614,2676,216,,,1,
历史,10183,吉林大学,011,历史学,历,614.0,612,2966,216,,,3,
历史,10183,吉林大学,007,新闻传播学类,历,612.0,611,3108,216,,,4,新闻学、广告学
历史,10183,吉林大学,006,考古学,历,620.0,611,3108,217,,,4,考古学、文物与博物馆学
历史,10183,吉林大学,012,"经济学(匡亚明班,拔尖学生培养基地)",历,616.0,616,2420,218,,,1,
历史,10183,吉林大学,019,经济学,历,615.0,614,2676,218,,,2,培养国别与区域经济人才
历史,10183,吉林大学,013,经济学类,历,615.0,612,2966,218,,,5,经济学、财政学、国际经济与贸易、金融学
历史,10183,吉林大学,016,政治学与行政学,历+政,615.0,612,2966,219,,,4,政治学与行政学、国际政治、行政管理
历史,10183,吉林大学,018,思想政治教育,历+政,611.0,611,3108,219,,,1,
历史,10183,吉林大学,017,外交学,历+政,610.0,610,3259,219,,,2,
历史,10183,吉林大学,014,法学(涉外法治人才试验班),历,634.0,634,817,228,,,1,
历史,10183,吉林大学,015,法学,历,634.0,631,993,228,,,3,
历史,10271,上海外国语大学,003,法语,历,614.0,614,2676,209,,,2,
历史,10271,上海外国语大学,005,商务英语,历,616.0,613,2825,209,,,3,
历史,10271,上海外国语大学,004,西班牙语(中外合作办学),历,,606,3950,211,,,7,中外合作
历史,10271,上海外国语大学,007,法学,历,620.0,612,2966,213,,,4,
历史,10271,上海外国语大学,008,工商管理类,历,614.0,612,2966,213,,,2,工商管理(企业数智化管理)、市场营销(大数据与智能营销)、财务管理(智能会计与智慧财务)、公共关系学(新技术与数智公关)
历史,10271,上海外国语大学,006,国际经济与贸易(日语),历,613.0,611,3108,213,,,3,
历史,10651,西南财经大学,005,经济学(国家经济学基础人才培养基地班),历,618.0,618,2189,207,,,1,
历史,10651,西南财经大学,013,法学(法学与金融学双学位),历,617.0,617,2306,207,,,1,
