subject_group,school_code,school_name,major_group_code,selection_requirement,group_majors_text,actual_group_min_score,actual_group_min_rank,actual_group_plan_count,actual_group_filing_count,actual_group_vacancy_count,group_note,group_major_count
物理,11510,山东交通学院,208,物+化,船舶与海洋工程，人工智能，数据计算及应用，数据科学与大数据技术，应用物理学，测绘工程，智能建造与智慧交通，汽车服务工程,499,165883,16,16,,,8
物理,10167,渤海大学,203,物,金融学，旅游管理,499,165963,2,2,,,2
物理,10576,韶关学院,224,物+化,食品科学与工程，食品营养与健康,499,166090,163,163,,,2
物理,10124,忻州师范学院,204,物,财务管理,499,166245,1,1,,,1
物理,10582,嘉应学院,204,物+化,软件工程，网络工程，物联网工程，工程管理，土木工程,499,166328,568,568,,,5
物理,10191,吉林建筑大学,211,物+化,无机非金属材料工程,499,166354,2,2,,,1
物理,10582,嘉应学院,215,物,汉语言文学(师范)，英语(师范)，历史学(师范)，小学教育(师范)，科学教育(师范)，教育技术学(师范),499,166526,236,236,,普师,6
物理,10576,韶关学院,239,物,秘书学，新闻学,499,166699,35,35,,,2
物理,10149,沈阳化工大学,208,物,社会工作,499,166794,2,2,,,1
物理,11838,贺州学院,206,物,网络与新媒体，财务管理，数字经济，跨境电子商务，金融科技,499,166811,20,20,,,5
物理,11656,广东石油化工学院,208,物,法学，汉语言文学(师范)，会计学，学前教育(师范)，工业工程，英语(师范)，国际经济与贸易，历史学(师范)，市场营销，物流工程，建筑学(5年),499,166883,542,542,,,11
物理,11354,梧州学院,216,物+地,数字经济,499,166993,2,2,,,1
物理,10578,韩山师范学院,218,物,小学教育(师范)，心理学(师范)，学前教育(师范)，教育技术学(师范),499,167031,155,155,,普师,4
物理,10579,岭南师范学院,210,物+化,数学与应用数学(师范)，信息与计算科学，物理学(师范)，应用物理学，统计学,499,167048,948,948,,普师,5
物理,10733,甘肃农业大学,205,物,金融学,499,167134,5,5,,,1
物理,10551,湖南科技学院,211,物+化,制药工程，智能制造工程，电子信息工程，新能源材料与器件，土木工程，数学与应用数学(师范),499,167284,18,18,,,6
物理,10582,嘉应学院,217,物,法学，文化遗产，社会工作，公共事业管理,499,167308,89,89,,,4
物理,10579,岭南师范学院,209,物+化,高分子材料与工程，化学(师范)，化学工程与工艺，应用化学，制药工程，食品科学与工程，烹饪与营养教育(师范)，食品质量与安全,499,167413,692,692,,,8
物理,10644,四川文理学院,210,物+化,机械工程，数字媒体技术，功能材料,498,167492,9,9,,,3
物理,10757,塔里木大学,209,物+化,计算机科学与技术，通信工程,498,167610,10,10,,,2
物理,10580,肇庆学院,217,物,应用心理学(师范)，学前教育(师范)，风景园林,498,167654,210,210,,普师,3
物理,10578,韩山师范学院,217,物,法学，社会工作，档案学,498,167737,118,118,,,3
物理,10445,山东师范大学,215,物,财务管理(中外合作办学)，物流管理(中外合作办学),498,167741,3,3,,中外合作,2
物理,11548,广西财经学院,209,物+化,计算机科学与技术,498,167844,3,3,,学分互认,1
物理,10579,岭南师范学院,213,物+化+生,生物技术，生物科学(师范)，海洋资源开发技术，园林,498,167911,292,292,,,4
物理,10576,韶关学院,229,物+化,无机非金属材料工程，环境工程,498,167976,142,142,,,2
物理,11354,梧州学院,215,物,供应链管理，金融科技，电子商务，工商管理,498,168029,8,8,,,4
物理,10576,韶关学院,230,物+化,动物科学，生物工程,498,168314,122,122,,,2
物理,10113,山西农业大学,211,物+化,植物保护，水产养殖学，生物科学，生物技术，生物信息学,498,168370,10,10,,,5
物理,10418,赣南师范大学,232,物+化,数学与应用数学(师范)，物理学(师范)，应用统计学，智慧农业，物理学，环境科学,498,168443,16,16,,普师,6
物理,10904,枣庄学院,202,物+化,人工智能,498,168477,5,5,,,1
物理,10222,佳木斯大学,216,物+化+生,医学检验技术,498,168484,7,7,,,1
物理,11326,信阳农林学院,207,物+化,物联网工程,498,168690,5,5,,,1
物理,10576,韶关学院,252,物,心理学(师范)，学前教育(师范),498,168785,93,93,,普师,2
物理,10576,韶关学院,233,物+生,园林,498,168884,40,40,,,1
物理,10576,韶关学院,238,物,法学，公共事业管理，社会工作，行政管理,498,168920,208,208,,,4
物理,11420,河北金融学院,213,物,会计学(中外合作办学),498,169004,2,2,,中外合作,1
物理,10579,岭南师范学院,215,物,英语(师范)，商务英语，翻译，日语，行政管理，社会工作，人力资源管理,498,169024,358,358,,普师,7
物理,10582,嘉应学院,205,物+化,化学(师范)，生物科学(师范),498,169080,319,319,,普师,2
物理,10741,兰州财经大学,208,物,金融学，会计学,498,169105,6,6,,中外联培,2
物理,10576,韶关学院,241,物,商务英语，会计学，国际经济与贸易，数字经济，人力资源管理，旅游管理，工商管理,498,169287,326,326,,,7
物理,13810,肇庆医学院,202,物+化,药学，中药学，食品卫生与营养学,497,169391,485,485,,,3
物理,10496,武汉轻工大学,210,物,工程管理(中外合作办学),497,169470,6,6,,中外合作,1
物理,10647,长江师范学院,208,物,数字经济，工程造价,497,169525,9,9,,,2
物理,13811,琼台师范学院,217,物+化,软件工程，生物科学,497,169609,4,4,,,2
物理,11261,吉林工商学院,206,物+化,电子信息工程，机械设计制造及其自动化，食品质量与安全,497,169747,4,4,,,3
物理,11653,南阳理工学院,209,物+化,机械设计制造及其自动化，电气工程及其自动化，电子信息工程，机器人工程，土木工程(培养建筑工程人才)，道路桥梁与渡河工程，通信工程，应用统计学,497,169772,32,32,,,8
物理,10582,嘉应学院,219,物,心理学(师范)，学前教育(师范),497,170002,50,50,,普师,2
物理,10580,肇庆学院,229,物+化,计算机科学与技术,497,170121,30,30,,中外联培,1
物理,10578,韩山师范学院,224,物,审计学，财务管理，经济学，投资学，人力资源管理,497,170393,222,222,,,5
物理,10763,喀什大学,214,物+地,地理科学(师范),497,170447,2,2,,普师,1
物理,10579,岭南师范学院,218,物,翻译，心理学(师范)，科学教育(师范)，日语(创新班)，教育技术学(师范),497,170600,206,206,,,5
物理,10576,韶关学院,225,物+化,生物科学(师范)，生物技术，园艺，土地科学与技术,497,170605,290,290,,普师,4
物理,10548,怀化学院,215,物+生,园林,497,170838,1,1,,,1
物理,11775,防灾科技学院,211,物,应急管理，工商管理，金融学，投资学,497,171009,13,13,,,4
物理,10669,凯里学院,206,物,经济学,497,171013,4,4,,,1
物理,10667,安顺学院,211,物+化,食品质量与安全，化学(师范),497,171015,2,2,,,2
物理,10578,韩山师范学院,215,物,烹饪与餐饮管理，旅游管理,497,171044,66,66,,,2
物理,10588,广东技术师范大学,228,物,会计学，工商管理,497,171080,105,105,,学分互认,2
物理,11230,齐齐哈尔医学院,212,物+化,预防医学(5年)，药物制剂，临床药学(5年)，药学,497,171130,5,5,,,4
物理,13684,珠海科技学院,209,物+化,计算机科学与技术，软件工程，电子信息科学与技术，自动化，机械设计制造及其自动化，无人驾驶航空器系统工程，智能科学与技术，机械电子工程，机器人工程，网络工程，微电子科学与工程，智能制造工程，飞行器设计与工程，通信工程，数据计算及应用，车辆工程，制药工程，药物分析，新能源材料与器件，化学工程与工艺，材料科学与工程，物流工程，食品质量与安全，金融工程，中药学，应用统计学，药物制剂，数据科学与大数据技术，食品营养与健康，应用化学,497,171162,1975,1975,,民办,30
物理,11347,仲恺农业工程学院,206,物+化,电气工程及其自动化，土木工程,497,171179,60,60,,中外联培,2
物理,10606,玉林师范学院,220,物+生,园林,496,171238,4,4,,,1
物理,10606,玉林师范学院,218,物+化,材料化学，化学工程与工艺，食品科学与工程，智慧农业,496,171311,19,19,,,4
物理,10578,韩山师范学院,219,物+化,化学(师范)，应用化学，材料科学与工程，环境科学，环境工程,496,171559,463,463,,普师,5
物理,10124,忻州师范学院,205,物+化,物理学(师范)，计算机科学与技术(师范)，通信工程，应用化学，电子信息科学与技术，数字媒体技术,496,171776,6,6,,普师,6
物理,10519,湖北文理学院,207,物+化,自动化，土木工程,496,171876,6,6,,,2
物理,10582,嘉应学院,207,物+化,医学检验技术，药学,496,171975,389,389,,,2
物理,10576,韶关学院,248,物,商务英语,496,172082,15,15,,学分互认,1
物理,10582,嘉应学院,206,物+化,材料科学与工程，应用化学，环境工程，生物工程，食品科学与工程，园艺,496,172176,443,443,,,6
物理,10605,河池学院,204,物+化,应用化学，环境工程,496,172247,10,10,,,2
物理,10402,闽南师范大学,209,物+化,数据计算及应用,496,172278,6,6,,中外联培,1
物理,10582,嘉应学院,218,物,财务管理，工商管理，国际经济与贸易，资产评估，市场营销,496,172341,257,257,,,5
物理,10453,泰山学院,202,物+化,机械类，智能建造,496,172367,10,10,,,2
物理,10676,云南农业大学,208,物,风景园林(中外合作办学),496,172521,2,2,,中外合作,1
物理,10578,韩山师范学院,220,物+化,食品科学与工程，食品质量与安全，生物科学(师范)，生物技术,496,172838,419,419,,,4
